keys	en	ru
HOW TO PLAY	HOW TO PLAY	КАК В ЭТО ИГРАТЬ
Rikoshet is a game played by a computer. The player draws the playing field, and the computer must pass it. The rules are simple: if a ball hits a figure from the front, then it interacts with it (bounces), and if from behind, then it goes right through. There are only two types of figures:	Rikoshet is a game played by a computer. The player draws the playing field, and the computer must pass it. The rules are simple: if a ball hits a figure from the front, then it interacts with it (bounces), and if from behind, then it goes right through. There are only two types of figures:	Rikoshet это игра, в которую играет компьютер. Игрок рисует игровое поле, а компьютер должен его пройти. Правила простые: если шарик ударяется об фигуру спереди, то он с ней взаимодействует (отскакивает), а если сзади, то проходит насквозь. Есть всего два типа фигур:
Triangles - their front side is the hypotenuse. Having bumped into a triangle, the ball turns 90 degrees.	Triangles - their front side is the hypotenuse. Having bumped into a triangle, the ball turns 90 degrees.	Треугольники — у них перед это гипотенуза. Ударившись об треугольник, шарик поворачивает на 90 градусов.
Flags - their front side is a groove. Having hit the flag from the front, the ball turns straight back.	Flags - their front side is a groove. Having hit the flag from the front, the ball turns straight back.	Флаги — у них перед это канавка. Налетев на неё, шарик разворачивается строго назад.
In addition, sometimes two figures can be in the same cell, something like this:	In addition, sometimes two figures can be in the same cell, something like this:	Кроме того, иногда две фигуры могут занимать одну клетку, вот как-то так:
The figures can be of different colors. The color of a shape determines its behavior.	The figures can be of different colors. The color of a shape determines its behavior.	Фигуры могут быть разных цветов. Цвет определяет их поведение.
Blue ones are stable and unchanging.	Blue ones are stable and unchanging.	Синие стабильны и неизменны.
Grey ones are just ghosts, they don't interact with the ball in any way.	Grey ones are just ghosts, they don't interact with the ball in any way.	Серые это просто призраки, они никак не взаимодействуют с шариком вообще.
Red ones after hitting turn to gray.	Red ones after hitting turn to gray.	Красные после попадания превращаются в серые.
Green ones are intangible, do not change the trajectory of the ball, but turn into blue.	Green ones are intangible at first hit, do not change the trajectory of the ball, but turn into blue.	Зелёные неосязаемы при первом попадании, не изменяют траекторию шарика, но превращаются в синие.
The stripes inside the figure increase its durability:	The stripes inside the figure increase its durability:	Полоски внутри фигуры увеличивают её стойкость.
The striped reds and greens turn into just reds and greens. Figures with crossed out stripes turn into triangles with simple stripes.	The striped reds and greens turn into just reds and greens. Figures with crossed out stripes turn into triangles with simple stripes.	Полосатые красные и зелёные превращаются в просто красные и зелёные. Фигуры с перечёркнутыми полосками превращаются в фигуры с просто полосками.
A red triangle with a spot turns into a green triangle with a spot and vice versa.	A red triangle with a spot turns into a green triangle with a spot and vice versa.	Красный треугольник с пятном превращается в зелёный треугольник с пятном и наоборот.
Finally, blue figures with a red corners rotate clockwise, and those with green ones rotate counterclockwise.	Finally, blue figures with a red corners rotate clockwise, and those with green ones rotate counterclockwise.	Наконец, синие фигуры с красным углом поворачиваются по часовой стрелке, а с зелёным — против часовой.
It seems like a lot, but in reality there are only two shapes: triangles and flags; there are only three colors: blue, red and green. Everything else was added later, just because it can. Try to build a path for the ball through many obstacles. Try to launch several balls instead of one and see what happen. Try to build a counting mechanism. Try drawing a picture. Try different.	It seems like a lot, but in reality there are only two shapes: triangles and flags; there are only three colors: blue, red and green. Everything else was added later, just because it can. Try to build a path for the ball through many obstacles. Try to launch several balls instead of one and see what happen. Try to build a counting mechanism. Try drawing a picture. Try different.	Кажется сложно, но на самом деле есть всего две формы: треугольники и флаги; только три цвета: синие, красные и зелёные. Всё остальное было добавлено позже, просто потому что можно. Попробуйте выстроить путь для шарика через множество препятствий. Попробуйте запустить несколько шариков вместо одного и посмотреть, что получится. Попробуйте построить счётную машину. Попробуйте нарисовать рисунок. Попробуйте разное.
GAME CONTROLS	GAME CONTROLS	УПРАВЛЕНИЕ
Image	Image	Изображение
Hotkey	Hotkey	Клавиша
Meaning	Meaning	Значение
Tool for drawing figures.	Tool for drawing figures.	Инструмент рисования фигур
Tool for drawing ball launchers.  The more red launcher is, the faster ball will be launched. Ctrl+scroll on the launcher to change its color.	Tool for drawing ball launchers.  The more red launcher is, the faster ball will be launched. Ctrl+scroll on the launcher to change its color.	Инструмент рисования запускателей шаров. Чем запускатель краснее, тем быстрее будут запускаемые им шарики. Ctrl+прокрутка по запускателю изменяет его цвет.
Rotate selected figure (or launcher) clockwise or counterclock-wise.	Rotate selected figure (or launcher) clockwise or counterclock-wise.	Вращать выбранную фигуру (или запускатель) по или против часовой стрелки.
Select previous/nest figure and make launcher less/more red.	Select previous/nest figure and make launcher less/more red.	Выбрать предыдущую/следующую фигуру или сделать запускатель менее/более красным.
Tool for drawing ball eaters.	Tool for drawing ball eaters.	Инструмент рисования пожирателей шаров.
Eraser tool.	Eraser tool.	Стёрка.
Launch balls from all available launchers.	Launch balls from all available launchers.	Запустить шары из всех доступных запускателей.
Destroy all existing balls.	Destroy all existing balls.	Уничтожить все существующие шары.
Clear all.	Clear all.	Очистить всё поле.
Load game field from file. Ctrl+L reloads opened file.	Load game field from file. Ctrl+L reloads opened file.	Загрузить игровое поле из файла. Ctrl+L перезагружает открытый файл.
Save game field to file. Balls won't be saved. Ctrl+S resaves opened file.	Save game field to file. Balls won't be saved. Ctrl+S resaves opened file.	Сохранить игровое поле в файл. Ctrl+S пересохраняет открытый файл.
Toggle pause game	Toggle pause game	Вкл/выкл паузу.
Toggle mute sound.	Toggle mute sound.	Вкл/выкл звук.
Toggle attach camera to last ball if available.	Toggle attach camera to last ball if available.	Прикрепить камеру к последнему доступному шарику. Или открепить.
Quit game. The first press of the Esc turns off the drawing mode, and then turns off the game.	Quit game. The first press of the Esc turns off the drawing mode, and then turns off the game.	Выйти из игры. Первое нажатие Esc выключает режим рисования, а следующее выключает игру.
Show help (this window).	Show help (this window).	Показать справку (это окно).
Move view.	Move view.	Переместить обзор.
Zoom view.	Zoom view.	Приблизить/отдалить.
Cancel	Cancel	Отмена
Load	Load	Загрузить
Save	Save	Сохранить
File exists. Overwrite?	File exists. Overwrite?	Такой файл уже есть. Перезаписать?
File Exists, Overwrite?	File Exists, Overwrite?	Такой файл уже есть. Перезаписать?
Please Confirm...	Please Confirm...	Подтверждение…
Open a File	Open a File	Открыть файл
Open	Open	Открыть
--------	--------	--------
Welcome to the tutorial level.	Welcome to the tutorial level.	Добро пожаловать на обучающий уровень.
"Click on the cannon in the middle or press ""start"" on the panel."	"Click on the cannon in the middle or press ""start"" on the panel."	"Нажмите на пушку в середине или нажмите ""старт"" на панели."
Have fun with Rikoshet!	Have fun with Rikoshet!	Весёлого рикошета!
In general, it will disappear anyway if it goes	In general, it will disappear anyway if it goes	Вообще, он и так исчезнет, если вылетит
far beyond the field, but still	far beyond the field, but still	далеко за пределы поля, но лучше всё же
it’s better to send it into the pocket.	it’s better to send it into the pocket.	отправлять его в лузу.
The ball that falls into the pocket disappears.	The ball that falls into the pocket disappears.	Шар, попавший в лузу, исчезает.
This is how you can make a simple binary counter	This is how you can make a simple binary counter	Вот так можно сделать простой двоичный счётчик
on variable triangles.	on variable triangles.	на переменных треугольниках.
Red clockwise	Red clockwise	Красные по часовой стрелке
Green counterclockwise	Green counterclockwise	Зелёные против часовой
And such triangles rotate with each hit.	And such triangles rotate with each hit.	А такие треугольники поворачиваются при каждом попадании.
so does the reflectivity.	so does the reflectivity.	и отражающая способность.
to green and back. As the color changes,	to green and back. As the color changes,	на зелёный и обратно. Вместе с цветом меняется
With each hit, they change color from red	With each hit, they change color from red	При каждом попадании они меняют цвет с красного
There are also triangles (and flags) with a dot.	There are also triangles (and flags) with a dot.	Ещё есть треугольники (и флажки) с точкой.
"Shown above are ""decryption"" of the lower figures. That is, what they are made of."	"Shown above are ""decryption"" of the lower shapes. That is, what they are made of."	"Сверху показаны ""расшифровки"" нижних фигур. То есть, из чего те состоят."
Here are all options for different shapes. You can combine everything with everything in any color.	Here are all options for different shapes. You can combine everything with everything in any color.	Вот такие варианты разных фигур существуют. Сочетать можно всё со всем любого цвета.
at once, but only without stripes.	at once, but only without stripes.	разных цветов, но только без полосок.
Two triangles of different colors can be in one cell	Two triangles of different colors can be in one cell	В одной клетке могут находиться сразу два треугольника
The stripes add durability to red triangles.	The stripes add durability to red triangles.	Полоски добавляют красным треугольникам стойкости.
And green too.	And green too.	И зелёным тоже.
Flags are also red and green.	Flags are also red and green.	Флажки тоже бывают красные и зелёные.
Green triangles do not work the first time.	Green triangles do not work the first time.	Зелёные треугольники не срабатывают с первого раза.
Of course, the hit is counted only from the front.	Of course, the hit is counted only from the front.	Конечно же, удар засчитывается только спереди.
only fire once	only fire once	срабатывают только один раз
Red triangles	Red triangles	Красные треугольники
on one side.	on one side.	с одной стороны.
Flags also work only	Flags also work only	Флажки тоже действуют только
Flags reflect strictly back.	Flags reflect strictly back.	Флажки отражают строго назад.
"""Flag"" - the second type of shapes."	"""Flag"" - the second type of shapes."	"""Флажок"" - второй вид фигур."
Interaction with them occurs only on one side.	Interaction with them occurs only on one side.	Взаимодействие с ними происходит только с одной стороны.
This is a common property for all shapes.	This is a common property for all shapes.	Это общее свойство для всех фигур.
When approaching from the legs, the ball does not ricochet.	When approaching from the legs, the ball does not ricochet.	При подлёте с катетов шарик не рикошетит.
ricochets at a right angle.	ricochets at a right angle.	рикошетит под прямым углом
When hitting a triangle, the ball	When hitting a triangle, the ball	При ударе об треугольник шарик
The main type of obstacles - triangles	The main type of obstacles - triangles	Основной вид препятствий - треугольники
The ball will fly in a straight line until it hits an obstacle.	The ball will fly in a straight line until it hits an obstacle.	Шарик будет лететь по прямой, пока не встретит препятствие
--------	--------	--------
The ball cycles through all the turning triangles.	The ball cycles through all the turning triangles.	Шар циклически проходит по всем поворотным треугольникам.
This level can be played as many times as you like.	This level can be played as many times as you like.	Этот уровень можно запускать сколько угодно раз.
